ReH,ReE,ReHTilde,F1,F2
0.70236,1.10807,0.93795,0.70236,1.10807
0.631324,0.95597,0.852383,0.631324,0.95597
0.584465,0.858558,0.79447,0.584465,0.858558
0.543877,0.776237,0.743344,0.543877,0.776237
0.505418,0.700131,0.694064,0.505418,0.700131
0.697225,1.09691,0.931853,0.697225,1.09691
0.631324,0.95597,0.852383,0.631324,0.95597
0.583509,0.856599,0.793277,0.583509,0.856599
0.54218,0.77284,0.741187,0.54218,0.77284
0.504665,0.698658,0.69309,0.504665,0.698658
0.677287,1.0538,0.908049,0.677287,1.0538
0.630241,0.953691,0.851058,0.630241,0.953691
0.583509,0.856599,0.793277,0.583509,0.856599
0.543027,0.774536,0.742264,0.543027,0.774536
0.505418,0.700131,0.694064,0.505418,0.700131
0.703654,1.11088,0.939484,0.703654,1.11088
0.632411,0.958257,0.853712,0.632411,0.958257
0.584465,0.858558,0.79447,0.584465,0.858558
0.543027,0.774536,0.742264,0.543027,0.774536
0.505418,0.700131,0.694064,0.505418,0.700131
0.70236,1.10807,0.93795,0.70236,1.10807
0.631324,0.95597,0.852383,0.631324,0.95597
0.584465,0.858558,0.79447,0.584465,0.858558
0.543877,0.776237,0.743344,0.543877,0.776237
0.505418,0.700131,0.694064,0.505418,0.700131
0.697225,1.09691,0.931853,0.697225,1.09691
0.631324,0.95597,0.852383,0.631324,0.95597
0.583509,0.856599,0.793277,0.583509,0.856599
0.54218,0.77284,0.741187,0.54218,0.77284
0.504665,0.698658,0.69309,0.504665,0.698658
0.677287,1.0538,0.908049,0.677287,1.0538
0.630241,0.953691,0.851058,0.630241,0.953691
0.583509,0.856599,0.793277,0.583509,0.856599
0.543027,0.774536,0.742264,0.543027,0.774536
0.505418,0.700131,0.694064,0.505418,0.700131
0.703654,1.11088,0.939484,0.703654,1.11088
0.632411,0.958257,0.853712,0.632411,0.958257
0.584465,0.858558,0.79447,0.584465,0.858558
0.543027,0.774536,0.742264,0.543027,0.774536
0.505418,0.700131,0.694064,0.505418,0.700131
0.70236,1.10807,0.93795,0.70236,1.10807
0.631324,0.95597,0.852383,0.631324,0.95597
0.584465,0.858558,0.79447,0.584465,0.858558
0.543877,0.776237,0.743344,0.543877,0.776237
0.505418,0.700131,0.694064,0.505418,0.700131
0.697225,1.09691,0.931853,0.697225,1.09691
0.631324,0.95597,0.852383,0.631324,0.95597
0.583509,0.856599,0.793277,0.583509,0.856599
0.54218,0.77284,0.741187,0.54218,0.77284
0.504665,0.698658,0.69309,0.504665,0.698658
0.677287,1.0538,0.908049,0.677287,1.0538
0.630241,0.953691,0.851058,0.630241,0.953691
0.583509,0.856599,0.793277,0.583509,0.856599
0.543027,0.774536,0.742264,0.543027,0.774536
0.505418,0.700131,0.694064,0.505418,0.700131
0.703654,1.11088,0.939484,0.703654,1.11088
0.632411,0.958257,0.853712,0.632411,0.958257
0.584465,0.858558,0.79447,0.584465,0.858558
0.543027,0.774536,0.742264,0.543027,0.774536
0.505418,0.700131,0.694064,0.505418,0.700131
0.70236,1.10807,0.93795,0.70236,1.10807
0.631324,0.95597,0.852383,0.631324,0.95597
0.584465,0.858558,0.79447,0.584465,0.858558
0.543877,0.776237,0.743344,0.543877,0.776237
0.505418,0.700131,0.694064,0.505418,0.700131
0.697225,1.09691,0.931853,0.697225,1.09691
0.631324,0.95597,0.852383,0.631324,0.95597
0.583509,0.856599,0.793277,0.583509,0.856599
0.54218,0.77284,0.741187,0.54218,0.77284
0.504665,0.698658,0.69309,0.504665,0.698658
0.677287,1.0538,0.908049,0.677287,1.0538
0.630241,0.953691,0.851058,0.630241,0.953691
0.583509,0.856599,0.793277,0.583509,0.856599
0.543027,0.774536,0.742264,0.543027,0.774536
0.505418,0.700131,0.694064,0.505418,0.700131
0.703654,1.11088,0.939484,0.703654,1.11088
0.632411,0.958257,0.853712,0.632411,0.958257
0.584465,0.858558,0.79447,0.584465,0.858558
0.543027,0.774536,0.742264,0.543027,0.774536
0.505418,0.700131,0.694064,0.505418,0.700131
0.70236,1.10807,0.93795,0.70236,1.10807
0.631324,0.95597,0.852383,0.631324,0.95597
0.584465,0.858558,0.79447,0.584465,0.858558
0.543877,0.776237,0.743344,0.543877,0.776237
0.505418,0.700131,0.694064,0.505418,0.700131
0.697225,1.09691,0.931853,0.697225,1.09691
0.631324,0.95597,0.852383,0.631324,0.95597
0.583509,0.856599,0.793277,0.583509,0.856599
0.54218,0.77284,0.741187,0.54218,0.77284
0.504665,0.698658,0.69309,0.504665,0.698658
0.677287,1.0538,0.908049,0.677287,1.0538
0.630241,0.953691,0.851058,0.630241,0.953691
0.583509,0.856599,0.793277,0.583509,0.856599
0.543027,0.774536,0.742264,0.543027,0.774536
0.505418,0.700131,0.694064,0.505418,0.700131
0.703654,1.11088,0.939484,0.703654,1.11088
0.632411,0.958257,0.853712,0.632411,0.958257
0.584465,0.858558,0.79447,0.584465,0.858558
0.543027,0.774536,0.742264,0.543027,0.774536
0.505418,0.700131,0.694064,0.505418,0.700131
0.70236,1.10807,0.93795,0.70236,1.10807
0.631324,0.95597,0.852383,0.631324,0.95597
0.584465,0.858558,0.79447,0.584465,0.858558
0.543877,0.776237,0.743344,0.543877,0.776237
0.505418,0.700131,0.694064,0.505418,0.700131
0.697225,1.09691,0.931853,0.697225,1.09691
0.631324,0.95597,0.852383,0.631324,0.95597
0.583509,0.856599,0.793277,0.583509,0.856599
0.54218,0.77284,0.741187,0.54218,0.77284
0.504665,0.698658,0.69309,0.504665,0.698658
0.677287,1.0538,0.908049,0.677287,1.0538
0.630241,0.953691,0.851058,0.630241,0.953691
0.583509,0.856599,0.793277,0.583509,0.856599
0.543027,0.774536,0.742264,0.543027,0.774536
0.505418,0.700131,0.694064,0.505418,0.700131
0.703654,1.11088,0.939484,0.703654,1.11088
0.632411,0.958257,0.853712,0.632411,0.958257
0.584465,0.858558,0.79447,0.584465,0.858558
0.543027,0.774536,0.742264,0.543027,0.774536
0.505418,0.700131,0.694064,0.505418,0.700131
